DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMAX,2017-09-09,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-09,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-09,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-09,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-09,GHCND:USR0000FRAC,88.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-09,GHCND:USC00085359,95.0,"MARCO ISLAND, FL US",25.9491,-81.7138
TMAX,2017-09-09,GHCND:USW00092826,86.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-09,GHCND:USR0000FOCH,86.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-09,GHCND:USR0000FOAS,87.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-09,GHCND:USW00012897,87.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
TMAX,2017-09-09,GHCND:USC00087760,81.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-09,GHCND:USR0000FCHE,84.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-10,GHCND:USR0000FOAS,80.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-10,GHCND:USR0000FOCH,80.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-10,GHCND:USW00012888,80.0,"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.6475,-80.43306
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-10,GHCND:USC00087760,78.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-10,GHCND:USR0000FRAC,80.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-10,GHCND:USR0000FCAC,81.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMAX,2017-09-10,GHCND:USW00092826,80.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-10,GHCND:USR0000FCHE,80.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-10,GHCND:USC00086078,86.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-11,GHCND:USR0000FCHE,87.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-11,GHCND:USR0000FOAS,87.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-11,GHCND:USR0000FRAC,87.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-11,GHCND:USW00092826,84.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-11,GHCND:USR0000FOCH,85.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-11,GHCND:USC00087760,100.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-11,GHCND:USR0000FCAC,89.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMAX,2017-09-12,GHCND:USR0000FOCH,88.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-12,GHCND:USR0000FRAC,90.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-12,GHCND:USR0000FOAS,90.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-12,GHCND:USC00087760,102.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-12,GHCND:USW00092826,89.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-12,GHCND:USR0000FCHE,89.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-12,GHCND:USW00012888,91.0,"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.6475,-80.43306
TMAX,2017-09-12,GHCND:USR0000FCAC,89.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMAX,2017-09-13,GHCND:USC00087760,98.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-13,GHCND:USR0000FRAC,90.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-13,GHCND:USR0000FOCH,89.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-13,GHCND:USR0000FCAC,90.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMAX,2017-09-13,GHCND:USR0000FCHE,88.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-13,GHCND:USW00092826,91.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-13,GHCND:USR0000FOAS,90.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USW00092826,94.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USR0000FOCH,92.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USW00012888,90.0,"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.6475,-80.43306
TMAX,2017-09-14,GHCND:USC00087760,102.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USR0000FCHE,89.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USR0000FCAC,92.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMAX,2017-09-14,GHCND:USR0000FOAS,92.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USW00012897,89.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
TMAX,2017-09-14,GHCND:USC00086078,92.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-14,GHCND:USR0000FRAC,91.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-15,GHCND:USR0000FOCH,92.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-15,GHCND:USR0000FOAS,92.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-15,GHCND:USR0000FCHE,91.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-15,GHCND:USW00012888,91.0,"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.6475,-80.43306
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-15,GHCND:USW00092826,93.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-15,GHCND:USC00087760,97.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-15,GHCND:USW00012897,91.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
TMAX,2017-09-15,GHCND:USR0000FRAC,90.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-15,GHCND:USR0000FCAC,92.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMAX,2017-09-15,GHCND:USC00086078,95.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-16,GHCND:USW00012888,92.0,"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.6475,-80.43306
TMAX,2017-09-16,GHCND:USR0000FCAC,90.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMAX,2017-09-16,GHCND:USR0000FRAC,91.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-16,GHCND:USR0000FCHE,90.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-16,GHCND:USC00087760,96.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-16,GHCND:USW00092826,93.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-16,GHCND:USR0000FOCH,92.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-16,GHCND:USC00085359,94.0,"MARCO ISLAND, FL US",25.9491,-81.7138
TMAX,2017-09-16,GHCND:USR0000FOAS,93.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-16,GHCND:USW00012897,92.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
