Date,Value
2017-09-15,1.48
2017-09-16,1.65
2017-09-17,0.3
2017-09-18,1.22
2017-09-19,2.0
2017-09-20,17.33
2017-09-21,22.0
2017-09-22,2.47
2017-09-23,2.0
2017-09-24,0.62
2017-09-25,0.4
2017-09-26,0.37
