Date,Value
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.02
2017-08-23,0.0
2017-08-24,0.2
2017-08-25,7.93
2017-08-26,6.65
2017-08-27,0.23
2017-08-28,0.41
2017-08-29,0.26
2017-08-30,0.0
2017-08-31,0.0
