Date,MaxTemp,MinTemp
2017-08-20,95.0,71.0
2017-08-21,94.0,77.0
2017-08-22,94.0,70.0
2017-08-23,95.0,69.0
2017-08-24,94.0,75.0
2017-08-25,88.0,74.0
2017-08-26,85.0,75.0
2017-08-27,88.0,73.0
2017-08-28,84.0,72.0
2017-08-29,89.0,72.0
2017-08-30,94.0,68.0
2017-08-31,94.0,68.0
