Date,MaxTemp,MinTemp
2017-09-15,92.0,67.0
2017-09-16,91.0,66.0
2017-09-17,91.0,68.0
2017-09-18,91.0,67.0
2017-09-19,92.0,68.0
2017-09-20,86.0,67.0
2017-09-21,80.0,68.0
2017-09-22,79.0,66.0
2017-09-23,79.0,67.0
2017-09-24,75.0,68.0
2017-09-25,79.0,68.0
2017-09-26,81.0,67.0
